number,Cr,k,l,m,n
1,19.39,1,2,2,1
2,-16.91,3,2,2,1
3,-7.89,1,1,3,1
4,10.87,4,2,2,1
5,-10.27,2,2,2,1
6,-8.93,5,2,2,1
7,6.18,1,2,4,1
8,-6.15,1,3,2,1
9,5.36,6,1,3,1
10,6.67,6,2,2,1
11,6.17,2,3,2,1
12,4.28,4,1,3,1
13,-5.55,4,3,2,1
14,3.54,1,4,3,1
15,-4.92,3,2,4,1
16,3.37,8,1,3,1
17,4.40,3,3,2,1
18,2.16,1,2,1,1
19,-2.92,2,2,1,1
20,-3.92,7,2,2,1
21,-1.77,2,1,1,1
22,-3.44,2,4,3,1
23,-3.37,2,2,4,1
24,-2.30,5,1,3,1
25,-1.47,1,1,2,1
26,2.01,2,1,3,1
27,2.73,6,2,4,1
28,1.89,4,1,5,1
29,-1.87,1,3,4,1
30,-1.31,8,1,1,1
31,1.77,4,4,1,1
32,-2.41,6,3,2,1
33,-1.68,3,4,1,1
34,-1.15,7,1,1,1
35,-2.26,5,2,4,1
36,2.19,4,4,3,1
37,-1.04,1,1,4,1
38,1.03,3,1,1,1
39,1.02,1,4,1,1
40,1.97,4,2,4,1
41,-1.96,3,2,3,1
42,-1.37,2,1,2,1
43,1.34,4,1,2,1
44,1.29,9,1,3,1
45,-1.27,2,1,5,1
46,0.89,4,1,1,1
47,1.77,2,5,3,1
48,1.75,5,3,2,1
49,0.87,6,1,1,1
50,-1.22,1,5,3,1
51,-1.13,4,5,1,1
52,-1.56,4,2,6,1
53,1.10,3,1,5,1
54,1.54,2,3,4,1
55,0.77,10,1,1,1
56,1.08,3,1,2,1
57,-1.47,4,3,4,1
58,-0.73,1,1,5,1
59,1.45,3,3,4,1
60,1.45,7,3,2,1
61,-1.02,5,4,1,1
62,0.97,5,5,1,1
63,0.95,1,2,3,1
64,-1.31,3,4,3,1
65,1.26,1,2,10,5
66,-1.17,5,4,3,1
67,1.17,5,5,3,1
68,1.14,8,2,2,1
69,0.79,1,4,5,1
70,-1.11,2,4,5,1
71,1.11,2,3,3,1
72,0.78,4,1,4,1
73,1.08,2,4,4,1
74,0.76,3,1,4,1
75,1.03,3,2,6,1
76,0.51,13,1,1,1
77,-0.72,5,1,5,1
78,0.50,14,1,1,1
79,-1.00,4,3,3,1
80,-0.99,9,2,2,1
81,-0.93,2,6,4,1
82,-0.65,1,5,2,1
83,-0.65,14,1,3,1
84,-0.63,2,1,4,1
85,0.62,1,6,4,1
86,-1.22,3,2,10,5
87,-0.85,6,3,4,1
88,-0.59,12,1,3,1
89,-0.83,3,1,2,3
90,0.58,9,4,1,1
91,0.80,8,2,4,1
92,-0.80,5,4,5,1
93,-0.78,1,2,2,5
94,-1.11,4,2,2,3
95,0.75,2,4,6,1
96,-0.38,1,1,6,1
97,-0.75,4,5,3,1
98,0.75,9,4,3,1
99,0.52,1,1,2,3
100,0.52,2,3,1,1
101,-0.73,5,4,2,1
102,-0.50,2,6,1,1
103,-0.50,13,1,3,1
104,0.70,6,2,3,1
105,-0.70,4,2,3,1
106,0.35,1,6,1,1
107,0.34,1,1,7,1
108,0.48,5,2,1,1
109,0.66,3,5,5,1
110,-0.33,20,1,1,1
111,-0.47,8,1,5,1
112,-0.46,1,5,5,1
113,0.46,1,1,10,5
114,-0.65,8,3,2,1
115,0.46,4,1,1,3
116,-0.46,1,4,4,1
117,-0.32,1,1,1,3
118,0.45,1,2,8,1
119,-0.45,15,1,3,1
120,-0.63,2,2,8,1
121,-0.62,7,2,4,1
122,-0.62,4,2,5,1
123,0.62,3,5,4,1
124,-0.43,1,4,2,1
125,0.43,3,5,1,1
126,-0.42,1,1,3,3
127,0.42,10,1,3,1
128,-0.29,5,1,1,1
129,-0.42,4,3,1,1
130,0.57,3,1,3,3
131,-0.56,2,7,3,1
132,-0.56,8,4,3,1
133,0.39,4,1,6,1
134,0.55,6,4,5,1
135,0.76,3,2,2,2
136,-0.53,1,2,2,2
137,-0.53,3,7,4,1
138,0.37,1,1,9,5
139,0.74,3,2,2,5
140,-0.37,6,5,1,1
141,-0.36,1,1,2,5
142,-0.51,3,5,3,1
143,0.36,3,1,3,1
144,0.36,7,1,3,1
145,0.36,11,4,1,1
146,0.25,12,1,1,1
147,0.50,3,2,1,3
148,-0.35,10,4,1,1
149,0.50,2,2,3,1
150,0.50,6,1,2,2
151,0.50,4,6,4,1
152,0.25,28,1,1,1
153,0.69,2,2,2,3
154,0.49,4,1,3,3
155,-0.49,1,2,4,5
156,0.49,5,3,4,1
157,0.48,7,3,4,1
158,-0.24,19,1,1,1
159,0.48,2,5,2,1
160,0.34,20,1,3,1
161,0.68,6,2,10,5
162,-0.48,6,5,3,1
163,-0.34,2,1,1,3
164,0.34,5,1,2,1
165,-0.47,1,2,3,3
166,-0.33,8,4,1,1
167,-0.33,12,4,1,1
168,0.33,13,1,5,1
169,0.17,1,1,1,1
170,0.33,11,1,5,1
171,0.33,3,1,1,3
172,-0.46,3,4,4,1
173,0.46,9,3,2,1
174,0.23,26,1,1,1
175,-0.45,12,4,3,1
176,0.45,7,2,3,1
177,-0.45,4,3,5,1
178,-0.45,5,6,4,1
179,0.45,2,4,2,1
180,0.44,6,1,10,5
181,-0.31,1,2,1,3
182,-0.44,6,5,2,1
183,-0.31,1,5,4,1
184,-0.44,10,4,3,1
185,0.44,1,2,2,3
186,-0.61,3,2,2,3
187,0.61,3,2,3,3
188,-0.43,3,1,10,5
189,-0.43,4,4,6,1
190,-0.30,1,1,10,4
191,-0.21,1,3,1,1
192,-0.29,2,4,1,1
193,-0.29,1,6,2,1
194,0.41,1,2,4,3
195,0.41,3,4,5,1
196,0.29,5,1,1,2
197,-0.29,1,1,10,3
198,0.40,11,4,3,1
199,0.20,15,1,1,1
200,0.40,5,2,3,1
201,0.40,3,5,7,1
202,0.20,17,1,1,1
203,0.28,11,1,3,1
204,0.39,2,3,5,1
205,-0.39,4,1,2,2
206,0.27,8,2,1,1
207,0.27,10,5,1,1
208,0.38,3,7,3,1
209,-0.38,3,4,6,1
210,-0.27,1,1,5,5
211,0.26,15,1,5,1
212,-0.37,3,3,5,1
213,-0.26,3,1,1,2
214,-0.37,12,2,4,1
215,0.26,5,1,4,1
216,-0.53,4,5,10,5
217,-0.37,1,5,10,5
218,-0.52,3,2,4,3
219,-0.52,4,2,2,2
220,0.37,1,3,10,4
221,-0.26,1,7,2,1
222,0.26,1,1,7,3
223,-0.52,2,2,10,5
224,0.26,1,1,4,3
225,0.36,3,1,10,4
226,-0.36,3,1,3,2
227,0.26,1,3,5,1
228,0.36,3,1,2,5
229,0.18,24,1,1,1
230,-0.36,1,2,8,3
231,-0.36,1,7,9,5
232,0.36,4,5,2,1
233,-0.35,1,4,10,4
234,-0.35,3,3,7,1
235,0.25,1,7,3,1
236,0.35,3,1,10,3
237,0.34,10,5,3,1
238,0.34,4,1,3,2
239,0.34,4,4,5,1
240,0.34,6,2,6,1
241,0.24,9,1,5,1
242,-0.34,10,2,4,1
243,0.34,9,3,4,1
244,0.33,1,6,10,5
245,-0.33,7,4,5,1
246,-0.33,3,1,7,3
247,-0.23,1,4,6,1
248,-0.33,2,2,6,1
249,0.23,3,2,1,1
250,0.23,5,1,6,1
251,-0.33,5,6,2,1
252,0.46,4,2,10,3
253,-0.32,4,5,7,1
254,-0.32,5,3,3,1
255,0.32,1,2,7,3
256,0.23,22,1,3,1
257,0.22,2,1,8,1
258,-0.32,4,1,10,5
259,0.16,11,1,1,1
260,0.31,5,1,2,2
261,0.22,1,6,3,1
262,-0.31,2,1,3,3
263,-0.16,18,1,1,1
264,-0.22,7,4,1,1
265,-0.16,1,5,1,1
266,0.31,1,4,9,5
267,0.31,3,2,5,1
268,-0.22,6,1,1,3
269,0.44,3,2,4,5
270,0.31,13,2,2,1
271,0.31,12,5,3,1
272,-0.31,3,7,6,1
273,0.43,3,2,8,3
274,0.22,3,1,7,1
275,0.22,2,1,6,1
276,-0.31,3,1,9,3
277,0.22,1,2,1,2
278,-0.43,3,2,10,2
279,-0.22,9,5,1,1
280,-0.43,3,2,7,3
281,0.43,2,5,10,5
282,0.30,2,4,7,1
283,0.21,6,4,1,1
284,0.21,3,6,1,1
285,0.21,6,2,1,1
286,0.30,4,4,2,1
287,-0.30,2,6,3,1
288,0.30,4,7,4,1
289,-0.30,11,5,3,1
290,0.30,4,2,1,2
291,0.29,2,1,10,4
292,0.29,8,3,3,1
293,-0.21,11,5,1,1
294,-0.29,3,1,9,5
295,-0.41,3,4,10,5
296,-0.29,2,6,7,1
297,-0.29,6,1,2,5
298,0.20,12,5,1,1
299,-0.40,3,3,10,4
300,-0.20,1,1,2,2
301,-0.29,7,4,3,1
302,0.28,6,4,3,1
303,0.28,1,3,2,2
304,-0.28,6,2,7,1
305,-0.40,5,2,2,2
306,0.20,1,1,3,2
307,0.28,2,7,2,1
308,-0.28,1,4,2,5
309,0.28,1,2,10,4
310,-0.28,2,3,6,1
311,0.20,21,1,3,1
312,0.20,1,7,5,1
313,-0.28,6,1,6,2
314,-0.27,5,2,5,1
315,-0.27,1,6,10,4
316,0.27,5,3,7,1
317,0.19,18,1,3,1
318,0.19,1,2,5,1
319,0.19,2,5,1,1
320,0.27,4,2,1,3
321,-0.19,16,1,3,1
322,-0.19,7,1,7,1
323,0.38,3,4,2,5
324,-0.37,6,2,2,5
325,0.26,2,1,3,5
326,0.26,3,1,6,3
327,-0.19,7,1,5,1
328,-0.26,4,1,9,3
329,0.26,4,6,6,1
330,-0.26,3,1,4,3
331,-0.26,6,6,3,1
332,-0.26,4,1,5,3
333,0.18,19,1,3,1
334,-0.13,21,1,1,1
335,0.26,5,6,3,1
336,-0.26,2,7,5,1
337,-0.26,3,4,7,1
338,-0.18,20,1,5,1
339,0.18,1,1,9,3
340,0.26,3,6,7,1
341,-0.18,9,1,7,1
342,0.13,30,1,1,1
343,0.25,6,4,2,1
344,0.25,4,6,2,1
345,0.25,8,4,2,1
346,-0.25,12,2,2,1
347,-0.36,4,4,10,4
348,-0.25,2,1,3,2
349,0.18,1,1,2,4
350,-0.18,19,1,5,1
351,0.18,9,3,1,1
352,-0.25,1,2,6,3
353,-0.25,14,2,4,1
354,0.35,4,3,2,2
355,0.35,3,2,6,3
356,0.17,4,1,1,2
357,-0.24,1,2,9,4
358,0.24,3,1,9,2
359,0.24,8,2,3,1
360,-0.24,3,6,6,1
361,-0.24,5,5,4,1
362,0.17,1,1,6,2
363,0.24,11,2,4,1
364,0.24,3,3,1,2
365,-0.17,1,5,6,1
366,-0.24,4,1,10,4
367,-0.24,2,1,2,3
368,-0.34,4,7,9,5
369,-0.24,10,2,2,1
370,-0.33,3,6,10,5
371,-0.33,4,4,10,5
372,0.23,2,7,4,1
373,0.23,4,1,9,5
374,0.23,3,2,8,1
375,0.23,6,5,7,1
376,-0.23,6,7,4,1
377,0.23,8,2,6,1
378,-0.16,1,3,1,2
379,0.23,5,1,2,3
380,0.32,3,6,10,4
381,0.23,3,6,2,1
382,0.11,1,1,1,2
383,-0.23,13,5,3,1
384,-0.32,5,3,2,2
385,-0.16,7,6,1,1
386,0.22,5,7,4,1
387,0.32,2,7,9,5
388,0.16,2,1,1,5
389,0.22,1,4,10,5
390,-0.31,5,2,10,5
391,0.16,14,1,5,1
392,0.22,1,2,10,2
393,0.16,7,2,1,1
394,0.15,7,3,1,1
395,0.22,5,1,3,2
396,-0.31,5,2,10,4
397,0.31,2,4,10,4
398,0.22,7,1,2,2
399,0.22,2,1,5,3
400,-0.15,1,3,3,1
401,-0.15,6,1,4,1
402,0.21,1,5,2,5
403,0.21,4,2,7,1
404,-0.21,9,5,3,1
405,-0.21,12,4,5,1
406,-0.21,1,4,9,4
407,-0.15,3,1,6,1
408,0.30,2,2,2,2
409,-0.21,5,4,4,1
410,-0.15,4,1,1,5
411,-0.21,3,2,1,2
412,-0.15,7,1,2,1
413,0.30,8,2,2,2
414,-0.21,4,1,3,5
415,-0.29,6,2,4,5
416,0.21,7,5,3,1
417,-0.21,1,3,9,5
418,-0.21,2,1,9,5
419,-0.21,1,3,2,4
420,0.29,6,2,10,4
421,-0.20,6,6,6,1
422,0.29,3,6,2,3
423,-0.20,23,2,2,1
424,-0.20,17,2,2,1
425,0.20,6,1,2,3
426,-0.14,7,1,4,1
427,0.28,4,2,6,2
428,-0.20,4,1,7,3
429,0.20,4,7,5,1
430,0.14,23,1,3,1
431,0.28,2,2,4,5
432,0.20,9,4,5,1
433,0.20,1,5,3,3
434,0.20,4,1,4,5
435,-0.28,2,2,10,3
436,0.20,1,2,3,4
437,-0.14,8,1,1,2
438,0.20,2,7,6,1
439,0.28,3,4,10,4
440,0.28,4,2,6,3
441,-0.14,1,1,12,3
442,0.27,4,2,10,5
443,-0.19,4,1,7,2
444,-0.19,6,4,7,1
445,0.19,7,3,3,1
446,-0.14,13,5,1,1
447,0.19,3,3,6,1
448,0.19,1,5,9,4
449,0.27,3,7,9,5
450,0.14,1,6,6,1
451,0.19,1,2,8,5
452,-0.19,1,2,5,5
453,0.13,1,6,7,1
454,0.19,8,3,6,1
455,0.19,5,7,6,1
456,-0.13,9,1,2,1
457,-0.19,5,5,5,1
458,-0.19,13,3,2,1
459,-0.26,4,4,2,3
460,0.19,1,3,3,3
461,-0.19,1,4,3,5
462,-0.13,2,1,7,1
463,0.19,9,6,2,1
464,0.19,6,6,4,1
465,-0.19,1,2,8,2
466,-0.19,13,3,4,1
467,-0.13,6,3,1,1
468,0.26,3,2,8,2
469,-0.18,16,2,4,1
470,-0.26,6,2,3,3
471,-0.09,31,1,1,1
472,-0.26,4,2,5,2
473,-0.26,2,3,2,2
474,-0.13,10,1,2,1
475,0.13,1,2,1,4
476,-0.26,3,2,9,3
477,0.26,3,4,9,4
478,-0.13,1,1,3,5
479,0.25,3,5,10,5
480,0.18,3,6,5,1
481,0.18,1,2,6,2
482,-0.25,3,4,9,5
483,0.18,6,3,3,1
484,-0.13,1,2,7,1
485,-0.18,1,6,2,3
486,-0.18,1,3,3,2
487,-0.13,18,1,5,1
488,-0.18,3,1,2,4
489,-0.18,5,2,1,4
490,-0.25,3,3,3,3
491,-0.13,14,4,1,1
492,-0.18,3,3,3,1
493,-0.12,4,6,1,1
494,0.18,8,7,2,1
495,-0.18,8,1,3,2
496,0.17,2,5,8,1
497,-0.17,5,1,6,2
498,-0.17,2,2,1,2
499,-0.12,1,5,7,1
500,0.25,4,4,2,2
501,0.12,1,3,1,3
502,0.25,5,2,2,5
503,0.17,12,3,2,1
504,-0.24,2,4,9,5
505,0.24,5,2,2,4
506,-0.17,1,4,5,5
507,0.17,5,2,6,1
508,-0.17,15,2,2,1
509,-0.17,7,3,6,1
510,-0.17,9,1,10,5
511,0.17,3,6,4,1
512,-0.17,8,5,3,1
513,0.17,1,7,3,5
514,0.24,3,3,3,2
515,-0.17,2,1,10,2
516,-0.17,5,5,7,1
517,-0.17,4,4,4,1
518,-0.12,1,7,1,3
519,-0.17,5,1,10,5
520,-0.17,9,7,2,1
521,0.17,4,1,2,4
522,-0.12,1,1,9,2
523,-0.17,6,6,5,1
524,0.08,25,1,1,1
525,0.24,6,6,10,5
526,0.17,1,2,9,3
527,0.12,13,4,1,1
528,0.17,3,1,5,5
529,0.17,10,3,4,1
530,-0.17,5,2,8,1
531,0.12,24,1,3,1
532,-0.17,4,1,9,2
533,0.16,9,3,3,1
534,0.23,4,5,2,5
535,0.16,6,2,5,1
536,0.23,3,3,2,4
537,-0.16,15,2,4,1
538,0.11,14,5,1,1
539,0.11,7,1,6,1
540,0.16,4,1,2,5
541,0.16,4,1,10,2
542,-0.16,3,3,1,3
543,-0.23,3,4,2,3
544,-0.11,17,1,3,1
545,0.16,14,5,3,1
546,0.16,4,2,8,1
547,0.23,5,2,10,2
548,-0.08,33,1,1,1
549,0.16,3,7,1,3
550,-0.16,6,2,8,1
551,0.16,2,1,9,2
552,-0.16,2,5,4,1
553,-0.16,4,1,10,3
554,-0.22,4,3,2,3
555,0.22,2,2,6,5
556,0.16,3,1,3,5
557,-0.16,5,3,6,1
558,-0.16,1,6,9,4
559,-0.16,6,2,1,2
560,0.11,11,3,1,1
561,-0.11,21,1,5,1
562,0.16,6,1,9,3
563,0.16,1,5,4,5
564,-0.16,10,4,5,1
565,-0.16,7,1,6,2
566,0.11,12,2,1,1
567,0.22,6,2,7,2
568,-0.15,9,1,2,2
569,-0.15,2,1,2,4
570,-0.15,1,2,5,2
571,0.11,1,7,1,5
572,0.22,4,4,9,5
573,-0.11,1,1,6,3
574,0.22,5,4,10,5
575,-0.21,3,5,9,4
576,0.08,9,1,1,1
577,0.15,10,3,3,1
578,-0.15,21,2,2,1
579,-0.15,9,2,8,1
580,-0.11,6,1,6,1
581,0.21,3,2,9,2
582,0.15,1,6,3,2
583,-0.21,3,6,3,2
584,-0.21,4,3,10,2
585,0.10,6,6,1,1
586,-0.15,1,2,6,5
587,-0.15,1,4,3,2
588,0.21,4,4,2,4
589,0.07,22,1,1,1
590,0.15,1,7,10,5
591,0.15,5,4,7,1
592,0.21,4,5,4,5
593,-0.21,4,2,6,5
594,0.21,6,2,2,3
595,0.15,5,4,6,1
596,0.15,4,1,2,3
597,0.14,1,4,2,4
598,0.20,3,2,9,4
599,0.14,7,2,6,1
600,0.14,13,2,4,1
601,-0.20,3,2,7,2
602,0.14,3,4,2,1
603,-0.20,3,7,10,4
604,-0.14,5,1,5,2
605,0.20,4,2,3,2
606,-0.20,2,2,6,3
607,0.14,3,1,5,2
608,0.14,8,3,4,1
609,-0.10,26,1,2,1
610,0.07,16,1,1,1
611,0.10,16,1,5,1
612,-0.10,1,2,9,1
613,-0.14,3,5,8,1
614,0.14,3,1,12,3
615,-0.20,2,5,2,5
616,0.14,1,5,2,2
617,-0.20,3,5,3,3
618,0.19,5,5,10,5
619,-0.19,5,4,2,2
620,0.14,2,1,9,3
621,-0.14,10,6,2,1
622,0.14,2,1,7,3
623,-0.19,4,2,4,5
624,0.14,2,5,6,1
625,-0.14,2,6,5,1
626,-0.14,7,7,3,1
627,0.14,5,1,5,5
628,-0.19,6,2,3,2
629,0.19,6,4,2,3
630,0.14,2,4,1,5
631,-0.14,9,4,7,1
632,-0.14,1,6,4,5
633,0.19,4,2,8,2
634,-0.19,3,5,2,2
635,-0.13,31,2,2,1
636,-0.13,1,2,9,2
637,0.13,5,7,2,1
638,0.19,2,4,10,5
639,0.13,1,3,9,2
640,-0.09,27,1,2,1
641,0.09,15,4,1,1
642,-0.13,7,7,2,1
643,-0.19,2,4,2,2
644,-0.19,3,3,9,2
645,-0.13,16,2,2,1
646,-0.09,1,1,7,5
647,-0.19,3,2,8,5
648,-0.13,14,4,3,1
649,0.19,5,2,4,3
650,-0.13,1,6,2,5
651,0.13,2,1,6,3
652,0.13,1,4,6,4
653,0.13,1,6,2,4
654,0.13,9,1,3,3
655,-0.09,1,1,14,3
656,-0.09,28,1,2,1
657,-0.13,1,3,10,2
658,-0.09,7,1,1,2
659,-0.09,8,1,2,1
660,-0.13,1,3,4,4
661,0.09,1,5,1,3
662,0.13,5,1,9,3
663,0.09,1,1,11,3
664,-0.13,4,4,1,5
665,0.09,6,1,9,1
666,-0.09,25,1,2,1
667,-0.18,2,5,4,5
668,-0.13,1,7,2,2
669,-0.13,8,6,2,1
670,-0.09,4,1,8,1
671,-0.13,2,1,4,3
672,-0.13,10,1,10,5
673,0.09,9,1,1,3
674,-0.09,1,1,4,5
675,0.18,4,5,3,3
676,-0.13,4,6,1,2
677,0.18,9,3,2,2
678,0.13,4,7,6,1
679,0.18,4,2,2,4
680,0.18,5,2,4,5
681,0.13,2,3,7,1
682,0.09,8,1,9,1
683,0.09,1,1,11,5
684,0.09,1,1,4,2
685,-0.18,3,2,5,3
686,0.12,1,6,5,4
687,-0.12,1,3,4,3
688,-0.18,4,3,9,5
689,-0.12,2,7,7,1
690,0.06,1,1,9,1
691,-0.12,5,1,9,2
692,0.12,1,3,3,5
693,-0.09,1,4,1,5
694,0.17,2,3,2,3
695,-0.12,5,3,1,2
696,-0.17,2,2,7,3
697,-0.17,6,2,10,3
698,0.12,5,5,2,1
699,-0.12,5,1,7,2
700,0.17,2,3,9,5