number,h,ro,T,zero1,zero2
1,0.0,1.225,288.15,0,0
2,1000.0,1.11166,281.651,0,0
3,2000.0,1.00655,275.154,0,0
4,3000.0,0.909254,268.659,0,0
5,4000.0,0.819347,262.166,0,0
6,5000.0,0.736429,255.676,0,0
7,6000.0,0.660111,249.187,0,0
8,7000.0,0.590018,242.702,0,0
9,8000.0,0.525786,236.215,0,0
10,9000.0,0.467063,229.733,0,0
11,10000.0,0.41351,223.252,0,0
12,11000.0,0.364801,216.774,0,0
13,12000.0,0.311937,216.65,0,0
14,13000.0,0.266595,216.65,0,0
15,14000.0,0.227855,216.65,0,0
16,15000.0,0.194755,216.65,0,0
17,16000.0,0.16647,216.65,0,0
18,17000.0,0.142301,216.65,0,0
19,18000.0,0.121647,216.65,0,0
20,19000.0,0.103995,216.65,0,0
21,20000.0,0.0889097,216.65,0,0
22,21000.0,0.0757146,217.581,0,0
23,22000.0,0.0645096,218.574,0,0
24,23000.0,0.0550055,219.567,0,0
25,24000.0,0.0469377,220.56,0,0
26,25000.0,0.0400837,221.552,0,0
27,26000.0,0.0342565,222.544,0,0
28,27000.0,0.0292982,223.536,0,0
29,28000.0,0.0250762,224.527,0,0
30,29000.0,0.0214783,225.518,0,0
31,30000.0,0.0184101,226.509,0,0
32,31000.0,0.0157915,227.5,0,0
33,32000.0,0.0135551,228.49,0,0
34,33000.0,0.011573,230.973,0,0
35,34000.0,0.00988736,233.744,0,0
36,35000.0,0.00846334,236.513,0,0
37,36000.0,0.00725789,239.282,0,0
38,37000.0,0.00623544,242.05,0,0
39,38000.0,0.00536653,244.818,0,0
40,39000.0,0.00462672,247.584,0,0
41,40000.0,0.00399566,250.35,0,0
42,41000.0,0.00345639,253.114,0,0
43,42000.0,0.00299475,255.878,0,0
44,43000.0,0.00259888,258.641,0,0
45,44000.0,0.00225884,261.403,0,0
46,45000.0,0.00196627,264.164,0,0
47,46000.0,0.00171414,266.925,0,0
48,47000.0,0.00149651,269.684,0,0
49,48000.0,0.00131669,270.65,0,0
50,49000.0,0.00116277,270.65,0,0
51,50000.0,0.00102687,270.65,0,0
52,51000.0,0.000906897,270.65,0,0
53,52000.0,0.000805613,269.031,0,0
54,53000.0,0.000717904,266.277,0,0
55,54000.0,0.000639001,263.524,0,0
56,55000.0,0.000568096,260.771,0,0
57,56000.0,0.000504448,258.019,0,0
58,57000.0,0.000447377,255.268,0,0
59,58000.0,0.000396263,252.518,0,0
60,59000.0,0.000350535,249.769,0,0
61,60000.0,0.000309676,247.021,0,0
62,61000.0,0.000273212,244.273,0,0
63,62000.0,0.000240709,241.527,0,0
64,63000.0,0.000211774,238.781,0,0
65,64000.0,0.00018605,236.036,0,0
66,65000.0,0.000163209,233.292,0,0
67,66000.0,0.000142957,230.549,0,0
68,67000.0,0.000125025,227.807,0,0
69,68000.0,0.000109169,225.065,0,0
70,69000.0,9.51698e-05,222.325,0,0
71,70000.0,8.28284e-05,219.585,0,0
72,71000.0,7.19649e-05,216.846,0,0
73,72000.0,6.2373e-05,214.263,0,0
74,73000.0,5.38238e-05,212.308,0,0
75,74000.0,4.63852e-05,210.353,0,0
76,75000.0,3.9921e-05,208.399,0,0
77,76000.0,3.43108e-05,206.445,0,0
78,77000.0,2.94479e-05,204.493,0,0
79,78000.0,2.52385e-05,202.541,0,0
80,79000.0,2.15995e-05,200.59,0,0
81,80000.0,1.8458e-05,198.639,0,0
82,81000.0,1.57493e-05,196.688,0,0
83,82000.0,1.34175e-05,194.738,0,0
84,83000.0,1.14145e-05,192.79,0,0
85,84000.0,9.69458e-06,190.842,0,0
86,85000.0,8.22001e-06,188.894,0,0
87,86000.0,6.95782e-06,186.946,0,0
88,87000.0,5.83212e-06,186.65,0,0
89,88000.0,4.88072e-06,186.65,0,0
90,89000.0,4.0845e-06,186.65,0,0
91,90000.0,3.41817e-06,186.65,0,0
92,91000.0,2.86108e-06,186.65,0,0
93,92000.0,2.39477e-06,186.65,0,0
94,93000.0,2.00484e-06,186.65,0,0
95,94000.0,1.6784e-06,186.65,0,0
96,95000.0,1.4051e-06,186.622,0,0
97,96000.0,1.16617e-06,188.24,0,0
98,97000.0,9.6445e-07,190.917,0,0
99,98000.0,7.99924e-07,192.912,0,0
100,99000.0,6.65312e-06,194.775,0,0
101,100000.0,5.54951e-06,196.605,0,0